fechas,VMI fuera de UCI
2020-05-18,88
2020-05-19,108
2020-05-20,116
2020-05-21,120
2020-05-22,134
2020-05-23,179
2020-05-24,209
2020-05-25,205
2020-05-26,217
2020-05-27,211
2020-05-28,214
2020-05-29,224
2020-05-30,253
2020-05-31,248
2020-06-01,249
2020-06-02,278
2020-06-03,302
2020-06-04,310
2020-06-05,254
2020-06-06,312
2020-06-07,294
2020-06-08,345
2020-06-09,333
2020-06-10,334
2020-06-11,328
2020-06-12,358
2020-06-13,332
2020-06-14,336
2020-06-15,386
2020-06-16,349
2020-06-17,338
2020-06-18,339
2020-06-19,326
2020-06-20,296
2020-06-21,301
2020-06-22,327
2020-06-23,301
2020-06-24,299
2020-06-25,279
2020-06-26,293
2020-06-27,267
2020-06-28,271
2020-06-29,268
2020-06-30,271
2020-07-01,272
2020-07-02,250
2020-07-03,229
2020-07-04,227
2020-07-05,212
2020-07-06,201
2020-07-07,192
2020-07-08,192
2020-07-09,186
2020-07-10,180
2020-07-11,180
2020-07-12,142
2020-07-13,133
2020-07-14,136
2020-07-15,135
2020-07-16,109
2020-07-17,98
2020-07-18,79
2020-07-19,84
2020-07-20,73
2020-07-21,70
2020-07-22,80
2020-07-23,78
2020-07-24,57
2020-07-25,58
2020-07-26,61
2020-07-27,69
2020-07-28,69
2020-07-29,58
2020-07-30,57
2020-07-31,57
2020-08-01,46
2020-08-02,41
2020-08-03,47
2020-08-04,42
2020-08-05,41
2020-08-06,32
2020-08-07,42
2020-08-08,27
